n,insertDuration,searchDuration,startsWithDuration,getAllWithPrefixDuration
9051,9667,2833,834,19041
9061,9000,2833,1084,19084
9071,8542,2750,792,24292
9081,10458,2500,584,22750
9091,9458,2542,708,20333
9101,9583,2708,625,16750
9111,9542,2708,917,18875
9121,8583,2834,917,24750
9131,9084,3000,1167,32583
9141,9125,2625,1042,15250
9151,8667,2792,1125,22542
9161,9500,2875,667,19916
9171,10208,2834,875,26458
9181,9500,2834,750,26250
9191,8500,2750,750,21834
9201,9625,3042,791,21333
9211,9125,3083,875,33750
9221,11375,2583,708,38458
9231,8834,2750,875,17042
9241,11000,2709,833,31792
9251,10208,3333,1000,33292
9261,7750,2666,834,33833
9271,9750,2625,917,28458
9281,8750,2875,750,28625
9291,7958,2875,625,24292
9301,9458,2834,916,33917
9311,9083,2750,709,30791
9321,9583,2709,750,22000
9331,9084,2583,625,32459
9341,9792,2917,833,29292
9351,8833,2958,1042,30459
9361,9500,2750,750,20375
9371,8667,2500,791,17875
9381,9667,2750,958,33083
9391,9291,2917,834,24666
9401,8417,2750,1166,33041
9411,9625,2834,1083,34667
9421,10625,2791,917,24791
9431,8792,2709,958,37000
9441,8417,2750,875,30125
9451,9459,2625,709,23959
9461,10792,2791,916,29500
9471,8584,2625,709,37041
9481,8750,2875,833,27958
9491,9333,2666,875,18167
9501,9250,2667,1000,36292
9511,8958,2666,1167,35250
9521,9917,3084,1000,23625
9531,9250,3000,1250,25625
9541,8792,2708,916,22541
9551,9375,2833,1125,31125
9561,9333,2708,1083,34083
9571,9375,3041,917,32792
9581,9208,2917,958,28833
9591,9666,2791,791,23584
9601,10041,2750,1000,25958
9611,8542,2667,1042,28208
9621,9708,2917,792,30917
9631,9167,2709,833,25583
9641,9625,2625,750,28500
9651,8083,2709,750,25000
9661,8458,2625,750,32166
9671,10167,2709,1041,21709
9681,13750,3584,1208,30375
9691,9292,2667,917,18500
9701,12083,2917,750,26333
9711,9167,2750,1125,14708
9721,9584,2750,709,29083
9731,9334,2916,750,25042
9741,9958,3167,1208,39916
9751,8667,2667,1083,26375
9761,8834,2791,1042,16333
9771,9500,2750,1000,41917
9781,9584,2833,1125,20292
9791,8625,2833,1042,31917
9801,8750,2875,791,25584
